,Food Code,Food Name,water(g),protein(g),TotalFat(g),TotalFibre(g),Carbohydrate(g),Energy(kJ),VitaminB1(mg),VitaminB2(mg),VitaminB3(g),VitaminB5(mg),VitaminB6(mg),VitaminB7(ug),VitaminB9(ug),Arsenic(ug),Calcium(mg),Cobalt(mg),Copper(mg),Iron(mg),Lead(mg),Magnesium(mg),Mercury(ug),Phophorus(mg),Potassium(mg),Sodium(mg),Zinc(mg),TotalStarch(g),Fructose(g),Glucose(g),Sucrose(g),TotalFreeSugars(g)
,C010,"Betel leaves, big (kolkata) (Piper betle)",84.93±0.85,2.51±0.29,0.75±0.02,2.12±0.20,7.37±0.66,202±14,0.03±0.012,0.08±0.012,0.45±0.05,0.51±0.09,0.04±0.007,2.18±0.25,15.96±2.25,1.17±0.85,207±14.9,0.003±0.001,0.24±0.05,3.00±0.77,0.005±0.002,107±22.4,0.21±0.13,51.73±4.83,649±9.0,16.80±0.03,0.47±0.17,6.24±0.04,0.20±0.01,0.17±0.02,,0.37±0.03
,C011,"Betel leaves, small (Piper betle)",85.92±0.16,2.62±0.28,0.75±0.04,1.97±0.13,6.16±0.33,183±2,0.02±0.010,0.07±0.009,0.47±0.07,0.47±0.04,0.04±0.005,1.28±0.15,16.56±2.67,1.68±0.00,196±13.7,0.002±0.001,0.29±0.02,2.87±0.29,0.004±0.003,89.94±14.98,,55.72±3.36,678±5.2,14.04±2.32,0.39±0.06,5.14±0.02,0.20±0.02,0.20±0.02,,0.40±0.03
,C012,Brussels sprouts (Brassica oleracea var. gemmifera),84.39,4.26,0.5,4.29,5.09,185,0.06,0.16,0.5,0.47,0.19,2.45,85.01,0.57,53.99,0.001,0.08,1.54,0.004,32.99,0.06,98.56,639,18.51,0.57,4.31,0.04,0.05,0.08,0.17
,C013,"Cabbage, Chinese (Brassica rupa)",93.19,1.58,0.13,2.01,2.36,75,0.01,0.05,0.38,0.58,0.19,1.08,54.51,,58.46,,0.05,0.39,,11.51,,33.05,258,20.28,0.19,1,0.2,0.1,0.12,0.42
,C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",89.53,3.63,0.27,2.98,2.79,126,0.03,0.05,0.26,0.49,0.24,1.38,63.46,,170,0.002,0.06,2.67,,45.9,,54.67,292,22.98,0.35,1.59,0.41,0.24,0.11,0.76
,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",91.85±0.97,1.36±0.07,0.12±0.01,2.76±0.20,3.25±0.91,90±16,0.03±0.005,0.05±0.001,0.24±0.02,0.24±0.01,0.13±0.016,1.41±0.14,46.36±4.48,,51.76±4.44,0.001±0.001,0.03±0.02,0.35±0.16,,17.99±3.22,,30.15±6.48,233±59.0,14.98±2.78,0.16±0.03,0.53±0.13,0.52±0.08,0.26±0.09,0.23±0.08,1.00±0.11
,C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",91.94,1.39,0.21,2.21,3.54,97,0.04,0.05,0.27,0.25,0.17,1.43,34.81,,48,0.002,0.02,0.24,,26.87,,22.14,201,24,0.13,0.54,0.43,0.18,0.19,0.8
,C017,Cauliflower leaves (Brassica oleracea var. botrytis),87.64±1.33,3.90±0.87,0.42±0.02,3.43±0.26,3.39±0.70,148±22,0.05±0.010,0.05±0.011,0.21±0.01,0.34±0.02,0.23±0.016,1.38±0.03,42.99±3.13,,96.70±16.41,,0.14±0.01,2.42±0.32,0.006±0.002,41.50±1.86,,62.82±2.98,374±14.1,24.31±5.03,0.31±0.06,1.53±0.03,0.32±0.01,0.24±0.02,0.05±0.03,0.61±0.04
,C018,"Colocasia leaves, green (Colocasia anti-quorum)",83.61±0.59,3.42±0.29,1.38±0.09,5.60±0.18,3.69±0.49,182±9,0.08±0.013,0.07±0.015,0.80±0.07,0.27±0.07,0.29±0.031,12.10±1.25,159±18.5,2.74±1.45,216±50.8,0.003±0.002,0.29±0.06,3.41±0.50,0.007±0.004,59.44±16.08,0.25±0.07,57.88±5.60,404±104,12.08±1.93,0.82±0.21,2.10±0.03,0.20±0.04,0.10±0.01,0.33±0.03,0.63±0.07
,C019,Drumstick leaves (Moringa oleifera),75.65±1.49,6.41±0.35,1.64±0.12,8.21±0.19,5.62±1.44,282±27,0.06±0.006,0.45±0.042,0.82±0.09,0.39±0.04,0.87±0.074,2.26±0.09,42.89±5.31,1.60±0.01,314±71.0,,0.44±0.26,4.56±1.09,0.004±0.001,97.09±10.17,,109±20.7,397±2.1,9.34±2.11,0.72±0.19,2.49±0.12,,0.02±0.01,,0.02±0.01
,C020,Fenugreek leaves (Trigonella foenum graecum),86.73±0.66,3.68±0.36,0.83±0.02,4.90±0.21,2.17±0.32,144±10,0.11±0.015,0.22±0.023,0.70±0.05,0.49±0.03,0.38±0.106,4.82±0.62,75.26±9.18,,274±27.8,0.006±0.003,0.18±0.04,5.69±1.37,0.006±0.001,63.67±18.51,,53.05±7.08,226±63.0,47.01±4.23,0.54±0.06,0.60±0.07,0.71±0.08,0.17±0.03,,0.88±0.08
,C021,Garden cress (Lepidium sativum),84.02,5.62,0.8,2.6,4.48,208,0.03,0.06,1.2,0.22,0.2,12.01,58.1,3.89,217,0.006,0.23,6.19,0.015,79.24,0.34,45.55,379,25.35,1.52,1.25,0.1,0.72,0.1,0.92
,C022,"Gogu leaves, green (Hibiscus cannabinus)",87.42±0.41,1.86±0.16,1.09±0.03,4.59±0.39,4.06±0.18,152±2,0.13±0.006,0.06±0.009,0.58±0.04,0.70±0.04,0.33±0.012,3.38±0.20,74.94±12.55,,145±15.3,0.004±0.002,0.23±0.08,7.65±1.74,,83.09±15.88,,41.99±6.83,260±5.4,12.34±2.36,0.65±0.08,1.15±0.06,,0.01±0.01,,0.01±0.01
,C023,"Gogu leaves, red (Hibiscus cannabinus)",87.98,1.85,1.07,3.89,4.24,153,0.12,0.05,0.56,0.71,0.31,3.43,88.63,,129,0.009,0.16,9.56,0.001,75.75,,36.38,161,14.08,0.63,1.16,,0.01,,0.01
,C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",86.2,3.12,0.35,2.76,6.16,178,0.06,0.15,0.86,0.27,0.28,13.57,41.55,7.98,368,0.005,0.07,2.51,0.006,66,0.29,55.02,309,26.8,0.42,4.47,,0.05,0.05,0.1
,C025,Lettuce (Lactuca sativa),92.27±0.99,1.54±0.48,0.27±0.03,1.79±0.24,3.01±0.56,91±16,0.05±0.013,0.09±0.008,0.17±0.02,0.11±0.01,0.08±0.016,2.15±0.09,30.69±6.48,1.43±0.31,56.71±2.07,0.002±0.000,0.14±0.05,2.73±0.59,0.004±0.002,43.22±17.56,0.08±0.04,44.10±11.69,279±77.6,17.53±2.53,0.51±0.22,1.50±0.14,0.17±0.04,0.05±0.01,,0.22±0.05
,C026,Mustard leaves (Brassica juncea),88.17±0.56,3.52±0.21,0.51±0.05,3.92±0.06,2.41±0.46,127±9,0.08±0.011,0.18±0.015,0.58±0.07,0.26±0.01,0.16±0.007,1.70±0.21,110±6.6,3.65±0.32,191±23.8,0.001±0.000,0.24±0.07,2.84±0.12,0.007±0.000,51.63±4.38,,71.62±16.63,403±62.5,19.14±3.67,0.68±0.09,1.41±0.07,,0.02±0.01,0.02±0.02,0.04±0.03
,C027,Pak Choi leaves (Brassica rapa var. Chinensis),93.56,1.41,0.25,1.91,1.78,67,0.02,0.22,0.66,0.31,0.96,10.25,98.5,3.29,150,0.002,0.06,3.78,0.014,45.28,0.08,25.95,250,33.73,0.16,1.1,0.1,0.2,0.22,0.52
,C028,Parsley (Petroselinum crispum),77.76±1.13,5.55±0.34,1.14±0.12,3.87±0.05,9.43±1.05,305±18,0.19±0.022,0.10±0.005,0.36±0.01,0.20±0.03,0.19±0.011,13.47±1.03,197±13.9,4.04±0.97,288±48.7,0.002±0.000,0.19±0.04,5.51±2.25,0.052±0.016,49.18±13.89,0.49±0.22,78.56±15.86,466±62.2,53.08±0.46,1.29±0.14,6.36±0.10,0.29±0.02,0.20±0.03,0.20±0.02,0.69±0.03
,C029,Ponnaganni (Alternanthera sessilis),79.43,5.29,0.71,6.74,5.17,213,0.02,0.1,0.32,0.21,0.19,11.18,48.42,2.68,388,0.014,0.21,3.88,0.008,80.39,0.34,58.26,457,39.36,0.99,3.66,0.11,0.33,,0.44
,C030,"Pumpkin leaves, tender (Cucurbita maxima)",85.82±1.04,4.21±0.41,0.74±0.03,2.25±0.09,4.75±1.01,185±15,0.07±0.010,0.13±0.025,1.49±0.09,0.36±0.01,0.17±0.022,3.40±0.29,33.82±4.70,,271±73.6,0.005±0.002,0.29±0.06,5.58±0.39,0.011±0.005,84.21±9.97,,64.54±10.74,423±64.2,12.20±2.49,0.90±0.25,2.10±0.02,,0.10±0.02,,0.10±0.02
,C031,Radish leaves (Raphanus sativus),91.19±0.53,2.22±0.23,0.51±0.05,1.82±0.10,2.77±0.34,109±9,0.06±0.005,0.13±0.024,0.47±0.06,0.14±0.01,0.16±0.032,4.39±0.12,53.14±5.32,4.91±0.52,234±53.1,0.005±0.003,0.29±0.08,3.82±0.52,0.003±0.000,57.96±15.93,,50.08±15.00,304±4.2,17.39±3.22,0.49±0.12,1.80±0.03,0.14±0.03,0.05±0.02,0.10±0.01,0.29±0.05
,C032,Rumex leaves (Rumex patientia),93.18,1.62,0.33,1.27,2.33,82,0.03,0.14,0.33,0.25,0.09,1.3,41.01,2.75,131,0.002,0.25,3.67,0.005,48.33,0.47,32.4,336,19.95,0.46,1.1,0.11,0.21,0.14,0.45
,C033,Spinach (Spinacia oleracea),90.31±0.46,2.14±0.14,0.64±0.03,2.38±0.24,2.05±0.31,102±7,0.16±0.016,0.10±0.009,0.33±0.03,0.22±0.03,0.15±0.011,4.14±0.27,142±10.3,,82.29±6.51,0.002±0.001,0.17±0.05,2.95±0.68,0.001±0.001,86.97±8.58,,32.59±8.08,625±5.9,42.55±4.12,0.46±0.09,1.38±0.24,0.07±0.03,0.18±0.04,,0.24±0.04
,C034,"Tamarind leaves, tender (Tamarindus indica)",71.69±0.06,5.84±0.01,0.49±0.01,10.70±0.02,10.04±0.02,299±1,0.12±0.020,0.03±0.007,0.79±0.02,0.30±0.04,0.14±0.010,3.29±0.60,91.82±9.56,,66.93±0.96,,0.56±0.04,2.84±0.70,,42.10±0.80,,86.86±2.14,465±4.0,13.43±0.07,0.93±0.03,6.85±0.02,0.05±0.02,0.12±0.02,,0.17±0.00
D OTHER VEGETABLES,D001,Ash gourd (Benincasa hispida),92.17±0.42,0.79±0.06,0.14±0.02,3.37±0.23,2.84±0.22,73±4,0.03±0.003,0.01±0.001,0.12±0.02,0.37±0.03,0.18±0.058,2.01±0.15,14.11±1.85,,19.39±1.46 ,0.001±0.001 ,0.04±0.01 ,0.47±0.20 ,0.003±0.000 ,19.95±6.83 ,,29.07±8.45 ,372±82.0 ,0.77±0.14 ,0.13±0.06,1.01±0.01 ,0.12±0.04 ,0.05±0.02 ,0.02±0.02 ,0.19±0.06
,D002,"Bamboo shoot, tender (Bambusa vulgaris)",94.56,1.33,0.35,1.55,1.67,68,0.06,0.06,0.25,0.22,0.13,5.93,17.05,,10,,0.14,0.33,0.014,8.28,,39.63,422,1.12,0.37,0.51,0.07,0.02,,0.09
,D003,"Bean scarlet, tender (Phaseolus coccineus)",85.51±1.22,2.86±0.27,0.99±0.06,4.50±0.25,5.16±1.45,179±21,0.13±0.016,0.12±0.016,0.52±0.08,0.42±0.03,0.31±0.021,12.26±1.53,45.26±0.73,0.30±0.07,43.48±18.32,0.001±0.000,0.17±0.01,0.73±0.04,,43.75±1.66,,62.13±3.09,164±8.3,1.46±0.54,0.57±0.05,3.53±0.02,0.38±0.02,0.51±0.03,0.14±0.02,1.03±0.04
,D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",90.87±0.56,1.44±0.17,0.24±0.01,3.78±0.16,2.82±0.32,87±6,0.05±0.005,0.04±0.009,0.27±0.03,0.33±0.09,0.05±0.009,5.76±0.52,60.28±7.22,,21.36±3.00,0.002±0.001,0.09±0.04,1.15±0.36,0.001±0.000,32.14±5.53,,44.90±4.39,326±35.0,13.09±0.07,0.31±0.07,0.92±0.08,0.04±0.01,,,0.04±0.01
,D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",91.60±0.28,1.34±0.12,0.24±0.01,3.49±0.18,2.53±0.26,79±5,0.06±0.008,0.04±0.005,0.29±0.03,0.36±0.01,0.04±0.004,5.55±1.17,51.45±6.97,,16.27±2.20,0.002±0.000,0.12±0.04,1.08±0.47,,31.58±2.56,,40.21±9.79,282±51.6,12.59±0.06,0.36±0.07,0.93±0.07,0.06±0.01,,,0.06±0.01
,D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",91.24,1.61,0.26,3.72,2.29,81,0.06,0.04,0.3,0.28,0.05,6.85,60.03,,17.62,0.007,0.1,1.28,0.001,33.34,,44.75,356,11.16,0.43,0.87,0.08,,,0.08
,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",95.17±0.33,0.53±0.05,0.13±0.02,2.12±0.07,1.68±0.33,46±6,0.03±0.003,0.01±0.001,0.14±0.01,0.56±0.09,0.02±0.005,2.55±0.29,41.99±3.56,,15.42±2.54,0.001±0.000,0.05±0.01,0.26±0.03,,10.93±1.69,,16.01±1.97,124±16.5,1.46±0.08,0.15±0.02,0.67±0.09,0.23±0.05,0.13±0.03,,0.36±0.06
,D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",94.50±0.32,0.42±0.02,0.12±0.03,2.10±0.15,2.53±0.21,57±3,0.03±0.004,0.01±0.001,0.14±0.01,0.50±0.06,0.02±0.006,2.33±0.14,49.59±3.82,,15.05±1.70,0.001±0.000,0.05±0.01,0.28±0.02,,10.89±1.53,,16.99±7.45,116±20.2,1.52±0.09,0.15±0.02,0.67±0.07,0.25±0.03,0.10±0.01,,0.34±0.04
,D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",94.63,0.49,0.13,2.11,2.25,54,0.03,0.01,0.14,0.59,0.01,2.54,46.31,,16.64,0.004,0.07,0.34,,12.9,,26.86,171,1.35,0.18,0.58,0.33,0.06,,0.39
,D010,Brinjal-1 (Solanum melongena),89.95,1.77,0.39,3.57,3.49,114,0.07,0.13,0.74,0.29,0.05,1.17,37.22,,22.17,0.001,0.25,0.49,0.002,26.75,,39.95,302,3.15,0.32,1.04,0.66,0.03,0.19,0.88
,D011,Brinjal-2 (Solanum melongena),90.28,1.82,0.34,4.01,2.71,99,0.09,0.11,0.56,0.27,0.05,1.83,27.22,,17.13,0.003,0.04,0.44,,29.56,,44.65,206,3.92,0.23,1.01,0.79,0.04,0.15,0.98
,D012,Brinjal-3 (Solanum melongena),90.02,1.36,0.33,4.26,3.38,102,0.05,0.109,0.6,0.29,0.07,1.32,32.29,,14.58,0.003,0.11,0.34,,18.62,,27.79,192,3.12,0.2,0.51,0.52,0.32,0.1,0.93
,D013,Brinjal-4 (Solanum melongena),90.28±1.21,1.51±0.24,0.31±0.03,4.04±0.65,3.19±0.86,100±18,0.06±0.019,0.11±0.003,0.52±0.07,0.42±0.10,0.07±0.013,1.70±0.62,36.67±7.69,,13.39±3.79,0.002±0.002,0.14±0.03,0.38±0.12,0.001±0.000,20.65±7.46,,31.82±5.99,268±114,3.31±0.24,0.21±0.04,0.97±0.02,0.55±0.01,0.15±0.04,0.17±0.02,0.86±0.06
,D014,Brinjal-5 (Solanum melongena),89.45±1.73,1.38±0.26,0.29±0.06,4.13±0.70,4.02±2.01,111±38,0.07±0.023,0.11±0.002,0.49±0.05,0.29±0.04,0.08±0.012,1.42±0.49,32.21±4.79,,17.03±2.93,,0.11±0.03,0.36±0.04,0.001±0.000,25.36±11.97,,33.13±6.40,227±35.4,4.03±0.55,0.20±0.05,0.85±0.21,0.67±0.13,0.10±0.06,0.22±0.15,0.99±0.13
,D015,Brinjal-6 (Solanum melongena),90.57,1.46,0.29,3.68,3.29,97,0.05,0.11,0.51,0.3,0.07,1.65,34.21,,17.17,0.001,0.11,0.39,0.001,18.82,,30.12,289,3.75,0.2,1.36,0.52,0.26,0.23,1
,D016,Brinjal-7 (Solanum melongena),91.25,1.4,0.37,3.32,3.1,98,0.05,0.12,0.44,0.33,0.07,1.32,26.58,,19.95,,0.09,0.27,,15.26,,29.58,238,3.45,0.16,0.89,1.01,0.3,0.07,1.38
,D017,Brinjal-8 (Solanum melongena),89.28±0.39,1.82±0.16,0.33±0.04,4.01±0.48,3.75±0.18,117±2,0.07±0.004,0.11±0.015,0.65±0.01,0.39±0.09,0.07±0.02,1.55±0.32,33.89±6.18,,21±2,0.001±0.001,0.12±0.04,0.42±0.05,0.003±0.003,26.63±8.03,,35.84±3.90,284±124,4.73±0.10,0.24±0.08,1.98±0.02,0.41±0.20,0.11±0.03,0.27±0.18,0.79±0.06
,D018,Brinjal-9 (Solanum melongena),89.83,1.47,0.35,4,3.52,106,0.06,0.11,0.56,0.3,0.09,2.3,35.89,,18.79,0.001,0.11,0.38,0.002,26.23,,35.71,224,3.08,0.23,1.54,0.47,0.23,0.21,0.91
,D019,Brinjal-10 (Solanum melongena),89.38,1.68,0.25,3.9,4.08,116,0.06,0.1,0.5,0.29,0.08,1.27,37.11,,15.59,0.001,0.12,0.41,,22.11,,37.36,252,4.35,0.23,1.29,0.5,0.23,0.13,0.86
,D020,Brinjal-11 (Solanum melongena),89.93±0.89,1.43±0.20,0.31±0.04,4.12±0.52,3.53±1.01,105±16,0.06±0.016,0.11±0.014,0.53±0.09,0.29±0.04,0.08±0.017,1.68±0.51,34.24±4.37,,15.92±2.76,0.001±0.001,0.12±0.03,0.37±0.08,0.001±0.000,20.73±5.13,,33.28±7.08,260±51.3,3.47±0.27,0.22±0.04,1.76±0.04,0.54±0.03,0.21±0.01,0.30±0.06,1.05±0.08
,D021,Brinjal-12 (Solanum melongena),90.94,1.6,0.27,3.89,2.73,93,0.04,0.1,0.46,0.35,0.06,1.11,27.83,,19.85,0.001,0.14,0.37,0.001,19.26,,37.81,259,3.88,0.25,0.75,0.82,0.14,0.27,1.22
,D022,Brinjal-13 (Solanum melongena),89.14,1.49,0.31,3.92,4.51,124,0.04,0.12,0.54,0.34,0.09,2.29,30.99,,18.95,0.003,0.11,0.32,,18,,26.81,260,3,0.19,1.12,0.59,0.37,0.19,1.15
,D023,Brinjal-14 (Solanum melongena),90.31±0.06,1.56±0.19,0.35±0.03,3.87±0.59,3.27±0.39,106±9,0.06±0.012,0.10±0.017,0.46±0.01,0.28±0.03,0.07±0.016,1.36±0.14,38.99±0.97,,14.43±3.70,,0.11±0.02,0.32±0.08,0.001±0.000,19.19±8.62,,30.07±4.05,246±20.2,3.71±0.25,0.19±0.06,0.92±0.01,0.40±0.02,0.28±0.07,0.20±0.20,0.88±0.17
,D024,Brinjal-15 (Solanum melongena),89.44±0.96,1.58±0.27,0.29±0.03,3.99±0.79,3.96±0.19,114±6,0.07±0.017,0.11±0.008,0.51±0.02,0.32±0.07,0.07±0.027,1.91±0.63,32.48±9.70,,17.82±2.16,0.001±0.002,0.12±0.01,0.36±0.14,0.001±0.000,21.89±3.72,,30.32±4.00,215±67.5,3.34±0.27,0.22±0.04,1.08±0.01,0.40±0.02,0.15±0.02,0.27±0.13,0.82±0.12
,D025,Brinjal-16 (Solanum melongena),90.39,1.26,0.34,3.74,3.46,103,0.04,0.11,0.44,0.29,0.1,2.14,30.87,,18.33,,0.07,0.32,0.001,17.06,,29.86,294,3.22,0.19,0.61,0.54,0.13,0.32,0.99
,D026,Brinjal-17 (Solanum melongena),90.83,1.18,0.36,3.94,2.89,91,0.08,0.09,0.53,0.34,0.1,3.57,27.7,,20.83,0.001,0.12,0.5,0.002,23.13,,35.94,233,3.09,0.25,0.62,0.4,0.26,0.19,0.85
,D027,Brinjal-18 (Solanum melongena),89.07±0.78,1.47±0.15,0.33±0.06,4.38±0.25,4.10±0.88,116±18,0.04±0.012,0.10±0.010,0.57±0.05,0.30±0.04,0.07±0.025,2.16±0.36,38.27±3.60,,16.24±4.21,0.001±0.002,0.10±0.03,0.38±0.08,0.002±0.002,15.48±1.73,,28.03±6.25,208±51.4,3.63±0.38,0.18±0.05,1.28±0.57,0.95±0.44,0.20±0.23,0.29±0.28,1.44±0.43
,D028,Brinjal-19 (Solanum melongena),90.41±0.55,1.26±0.06,0.31±0.02,3.97±0.18,3.39±0.36,100±8,0.04±0.007,0.10±0.012,0.53±0.08,0.26±0.08,0.09±0.023,2.54±0.64,34.32±5.55,,16.10±1.74,0.001±0.000,0.10±0.03,0.32±0.04,0.002±0.000,18.41±2.91,,29.76±2.67,243±57.7,3.11±0.08,0.19±0.03,1.05±0.02,0.50±0.03,0.32±0.04,0.14±0.02,0.96±0.01
,D029,Brinjal-20 (Solanum melongena),90.65±0.79,1.44±0.21,0.34±0.04,3.73±0.21,3.15±0.60,99±10,0.06±0.015,0.10±0.014,0.55±0.09,0.29±0.04,0.07±0.012,1.77±0.44,33.44±4.68,,14.36±2.59,0.001±0.001,0.10±0.03,0.33±0.10,0.001±0.000,18.51±3.26,,31.21±6.76,239±29.6,3.58±0.27,0.20±0.05,2.08±0.02,0.42±0.02,0.21±0.02,0.12±0.01,0.76±0.03
,D030,Brinjal-21 (Solanum melongena),89.83,1.36,0.35,3.85,3.93,113,0.05,0.11,0.53,0.32,0.08,1.93,32.6,,15.27,0.003,0.09,0.34,0.003,17.3,,34.98,252,3.06,0.2,1.08,0.7,0.07,0.15,0.93
,D031,Brinjal - all varieties (Solanum melongena),90.00±0.90,1.48±0.22,0.32±0.04,3.98±0.49,3.52±0.80,106±15,0.06±0.016,0.11±0.011,0.53±0.08,0.31±0.06,0.07±0.016,1.76±0.58,33.93±5.33,,16.59±3.13,0.001±0.001,0.11±0.03,0.37±0.08,0.001±0.001,21±5.68,,32.56±5.91,247±59.8,3.55±0.47,0.21±0.05,1.31±0.48,0.55±0.19,0.20±0.09,0.22±0.12,0.97±0.21
,D032,Broad beans (Vicia faba),84.20±0.17,3.85±0.13,0.15±0.01,8.63±0.15,2.11±0.11,123±4,0.12±0.01,0.10±0.03,0.76±0.00,0.45±0.03,0.23±0.01,10.03±0.75,20.46±0.04,0.34±0.16,64.37±5.06,0.002±0.001,0.20±0.01,0.94±0.20,0.003±0.000,40.18±2.10,,67.97±8.14,362±14.1,20.74±0.65,0.61±0.06,0.84±0.03,0.61±0.02,0.41±0.02,0.20±0.02,1.22±0.05
,D033,"Capsicum, green (Capsicum annuum)",93.89±0.32,1.11±0.11,0.34±0.03,2.06±0.22,1.84±0.32,68±6,0.05±0.007,0.03±0.011,0.56±0.05,0.21±0.03,0.15±0.011,4.59±0.46,51.85±3.38,,14.75±2.93,0.002±0.001,0.06±0.01,0.48±0.11,0.001±0.000,11.84±1.91,,23±5.42,154±24.2,1.84±0.10,0.15±0.03,0.31±0.02,0.42±0.04,0.20±0.07,0.23±0.01,0.86±0.11
,D034,"Capsicum, red (Capsicum annuum)",92.99±1.47,1.47±0.36,0.47±0.05,2.19±0.17,2.14±1.06,83±24,0.10±0.042,0.03±0.014,0.66±0.21,0.25±0.03,0.24±0.007,5.47±0.98,62.54±2.15,,15.76±1.11,0.001±0.000,0.07±0.01,0.38±0.05,0.001±0.001,19.57±5.45,,30.81±5.81,224±24.7,1.70±0.14,0.34±0.06,0.08±0.02,0.34±0.03,0.26±0.02,0.33±0.01,0.93±0.05
,D035,"Capsicum, yellow (Capsicum annuum)",93.38±0.37,1.35±0.35,0.41±0.02,2.19±0.13,1.95±0.16,78±4,0.14±0.012,0.02±0.009,0.59±0.20,0.21±0.02,0.25±0.040,6.33±0.85,66.15±2.56,0.03±0.02,19.13±4.17,0.003±0.001,0.09±0.02,0.69±0.12,0.007±0.002,17.23±4.30,,43.33±10.64,242±45.6,1.56±0.18,0.26±0.08,0.12±0.01,0.38±0.02,0.25±0.03,0.35±0.03,0.97±0.04
,D036,Cauliflower (Brassica oleracea),90.76±0.22,2.15±0.15,0.44±0.03,3.71±0.27,2.03±0.22,96±5,0.04±0.003,0.07±0.007,0.31±0.02,0.62±0.09,0.13±0.020,2.47±0.29,45.95±2.95,,25.16±3.47,0.001±0.001,0.05±0.03,0.96±0.34,0.004±0.001,23.08±4.37,,47.33±10.61,329±56.3,30.72±3.83,0.31±0.11,0.59±0.11,0.27±0.06,0.14±0.03,0.06±0.06,0.47±0.10
,D037,Celery stalk (Apium graveolens),92.87±0.22,0.98±0.13,0.24±0.04,2.09±0.13,2.33±0.23,69±6,0.03±0.007,0.04±0.008,0.48±0.05,0.42±0.02,0.06±0.010,2.09±0.08,22.48±1.33,0.51±0.10,38.73±3.38,0.001±0.000,0.12±0.12,1.36±0.41,0.003±0.001,17.12±6.63,,44.84±9.18,298±10.1,10.68±0.05,0.18±0.03,0.68±0.03,0.15±0.03,0.25±0.04,0.35±0.02,0.75±0.06
,D038,Cho-cho-marrow (Sechium edule),93.78±0.12,0.66±0.07,0.15±0.03,1.55±0.08,3.47±0.18,79±2,0.01±0.000,0.03±0.003,0.23±0.02,0.21±0.01,0.07±0.015,1.06±0.03,63.03±9.04,,18.64±2.31,0.001±0.001,0.05±0.01,0.48±0.11,,13.05±1.03,,21.61±4.89,120±20.8,1.28±0.05,0.10±0.03,1.17±0.02,0.40±0.01,0.25±0.02,0.12±0.01,0.76±0.02
,D039,Cluster beans (Cyamopsis tetragonobola),84.65±0.83,3.55±0.38,0.37±0.04,4.83±0.54,4.91±0.58,168±15,0.05±0.006,0.03±0.005,0.71±0.05,0.35±0.03,0.12±0.008,5.35±0.70,41.24±4.35,,121±17.8,0.004±0.000,0.14±0.02,3.90±0.66,,81.74±10.44,,45.28±4.07,301±47.7,4.05±0.73,0.61±0.13,4.42±0.03,,0.10±0.01,0.02±0.01,0.12±0.02
,D040,"Colocasia, stem, black (Colocasia antiquorum)",91.15,0.76,0.34,3.01,3.83,100,0.02,0.04,0.16,0.47,0.06,3.8,30.88,1.16,29.46,0.002,0.05,0.77,,11.07,,20.31,381,0.45,0.54,0.55,0.37,0.16,,0.53
,D041,"Colocasia, stem, green (Colocasia antiquorum)",92.67±0.44,0.91±0.16,0.22±0.02,2.33±0.06,2.86±0.34,81±7,0.02±0.004,0.03±0.013,0.22±0.03,0.50±0.12,0.07±0.007,3.46±0.37,25.32±3.00,1.58±1.42,40.21±6.92,0.002±0.002,0.08±0.03,0.55±0.22,,19.56±4.36,,30.73±6.04,414±85.6,0.60±0.15,0.20±0.08,0.89±0.19,0.09±0.02,0.16±0.08,,0.25±0.09
,D042,"Corn, Baby (Zea mays)",75.44±0.98,2.69±0.23,1.33±0.23,6.09±0.50,11.66±1.40,306±18,0.15±0.054,0.07±0.032,0.53±0.07,0.94±0.16,0.16±0.046,0.79±0.08,45.53±11.69,,76.51±13.84,0.001±0.000,0.12±0.03,1.45±0.23,,25.47±2.17,,8.69±1.35,260±19.4,1.40±0.69,1.13±0.22,4.12±0.03,0.20±0.02,0.15±0.02,0.14±0.03,0.49±0.02
,D043,"Cucumber, green, elongate (Cucumis sativus)",92.96±0.48,0.71±0.11,0.16±0.04,2.14±0.42,3.48±0.47,82±8,0.02±0.003,0.01±0.000,0.35±0.04,0.45±0.04,0.06±0.013,2.82±0.47,16.84±3.17,,16.39±3.74,0.002±0.001,0.04±0.01,0.46±0.21,0.001±0.000,20.38±4.95,,28.34±4.85,183±36.6,6.33±0.20,0.17±0.02,0.50±0.10,0.25±0.03,0.02±0.01,,0.27±0.04
